0: 1 5 22 6 29, zy
1: 1 5 24 6 31, zy
2: 1 5 26 6 33, zy
3: 1 5 23 1 6 1 30, zy
4: 1 5 25 1 6 1 32, zy
5: 1 5 18 4 24 6 32 6 27, zy
6: 1 5 20 4 14 4 20 6 29, zy
7: 1 5 22 4 16 4 24 6 31, zy
8: 1 5 23 1 6 1 27 6 29, zy
9: 1 5 24 4 14 4 26 6 31, zy
10: 1 5 26 4 14 4 28 6 33, zy
11: 1 5 22 6 31 1 5 24 6 29, zy
12: 1 5 24 6 33 1 5 26 6 31, zy
13: 1 5 26 6 35 1 5 28 6 33, zy
14: 1 5 22 4 16 4 23 1 6 1 30, zy
15: 1 5 22 5 1 29 6 24 5 1 30, zy
16: 1 5 22 6 29 1 6 1 23 6 29, zy
17: 1 5 24 4 12 2 10 4 26 6 31, zy
18: 1 5 24 4 18 4 23 1 6 1 32, zy
19: 1 5 24 4 20 4 18 4 26 6 33, zy
20: 1 5 24 6 29 1 6 1 23 6 31, zy
21: 1 5 24 6 32 6 23 1 6 1 30, zy
22: 1 5 25 1 6 1 31 6 28 6 33, zy
23: 1 5 26 6 30 6 28 6 28 6 31, zy
24: 1 5 28 6 32 6 30 6 30 6 33, zy
25: 1 5 20 4 16 4 20 4 14 4 22 6 29, zy
26: 1 5 20 4 20 4 16 2 6 2 12 4 27, zy
27: 1 5 20 4 20 4 16 4 23 1 6 1 28, zy
28: 1 5 22 4 16 2 4 2 14 4 24 6 31, zy
29: 1 5 22 4 16 4 22 4 14 2 8 4 29, zy
30: 1 5 22 4 16 4 22 4 14 4 24 6 31, zy
31: 1 5 22 4 16 4 22 6 32 6 24 6 31, zy
32: 1 5 22 4 18 2 4 2 14 4 26 6 31, zy
33: 1 5 22 4 22 4 18 4 25 1 6 1 30, zy
34: 1 5 22 5 1 28 1 6 1 23 5 1 30, zy
35: 1 5 22 6 30 6 24 4 12 4 24 6 29, zy
36: 1 5 23 1 6 1 29 6 23 1 6 1 30, zy
37: 1 5 24 4 14 2 6 2 14 4 26 6 31, zy
38: 1 5 24 4 14 4 25 1 6 1 27 6 31, zy
39: 1 5 24 4 16 2 6 2 14 4 26 6 33, zy
40: 1 5 24 4 18 4 23 1 6 1 31 6 31, zy
41: 1 5 24 5 1 30 1 6 1 25 5 1 32, zy
42: 1 5 24 6 30 6 27 1 6 1 25 6 31, zy
