1  - CS   (68, 780) 1 5 16 2 4 2 14 4 20 5 1 29 6 22 5 1 29 6 23 1 6 1 28 1 6 1 23 6 29 1 5 22 6 29 1 5 20 4 14 2 4 2 16 5 1 25 6 28 6 24 6 29 1 5 22 6 30 6 22 5 1 29 6 24 6 28 6 25 OOEEEEEEEOOOEEOOOEOOEOEOEOOEOOOEEOOOEEEEEEEOOOEEEEEOOOEEEEEOOOEEEEEO
2  - CS   (80, 1008) 1 5 18 4 20 6 30 6 23 1 6 1 27 6 26 6 26 6 26 6 27 1 6 1 23 6 30 6 20 4 18 5 1 27 6 26 6 26 6 26 6 26 6 27 1 6 1 23 5 1 30 1 5 21 1 7 30 7 1 21 5 1 30 1 5 23 1 6 1 27 6 26 6 26 6 26 6 26 6 27 OOEEEEEEOOEOOEEEEEEEOOEOOEEEEEEOOOEEEEEEEEEOOEOOOOEOOOOOEOOOOOEOOOOEOOEEEEEEEEEO
3  - CS   (88, 1068) 1 5 18 4 18 4 16 4 20 4 14 4 22 6 29 1 6 1 22 1 6 1 29 6 22 4 14 4 20 4 16 4 18 4 18 5 1 27 6 24 4 12 4 24 6 26 6 28 6 23 1 6 1 29 6 22 5 1 29 6 24 6 28 6 24 6 29 1 5 22 6 29 1 6 1 23 6 28 6 26 6 24 4 12 4 24 6 27 OOEEEEEEEEEEEEOOEOEOEOOEEEEEEEEEEEEOOOEEEEEEEEEEEOOEOOEEOOOEEEEEEEOOOEEOOEOOEEEEEEEEEEEO
4  - CS   (88, 852) 1 5 18 4 18 4 16 2 2 2 16 4 20 6 30 6 23 1 6 1 28 1 5 20 4 16 4 18 4 16 2 2 2 16 2 2 2 16 4 18 4 16 4 20 5 1 28 1 6 1 23 6 30 6 20 4 16 2 2 2 16 4 18 4 18 5 1 27 6 25 1 6 1 25 4 10 2 8 2 10 4 25 1 6 1 25 6 27 OOEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEOOOEOOEOOEEEEEEEOOEOOEO
5  - CS   (88, 852) 1 5 18 4 18 4 16 2 2 2 16 4 20 6 30 6 23 1 6 1 28 1 5 20 4 16 4 18 4 16 2 4 2 12 2 4 2 16 4 18 4 16 4 20 5 1 28 1 6 1 23 6 30 6 20 4 16 2 2 2 16 4 18 4 18 5 1 27 6 25 1 6 1 25 4 10 2 8 2 10 4 25 1 6 1 25 6 27 OOEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEOOOEOOEOOEEEEEEEOOEOOEO
6  - CS   (90, 932) 1 5 18 4 16 4 20 4 14 2 4 2 14 4 22 6 28 6 25 1 6 1 26 1 5 18 4 18 5 1 26 1 6 1 25 6 28 6 22 4 14 2 4 2 14 4 20 4 16 4 18 5 1 26 1 6 1 25 6 26 6 28 6 22 4 14 2 4 2 14 4 20 4 14 2 4 2 14 4 22 6 28 6 26 6 25 1 6 1 26 OOEEEEEEEEEEEEEEEEOOEOEOOEEEOOEOEOOEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOEOE
7  - CS   (114, 1172) 1 6 1 25 4 10 4 26 6 24 4 12 2 4 2 16 4 18 4 16 4 20 4 14 4 22 6 30 7 1 21 4 12 2 8 2 8 2 10 2 8 2 10 4 24 6 28 6 24 4 10 2 10 4 24 6 28 6 24 6 28 6 24 4 10 2 10 4 24 6 28 6 24 4 10 2 8 2 10 2 8 2 8 2 12 4 21 1 7 30 6 22 4 14 4 20 4 16 4 18 4 16 2 4 2 12 4 24 6 26 4 10 4 25 OEOOEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEO
8  - CS   (116, 1352) 1 5 18 4 16 4 20 4 16 4 18 5 1 26 1 6 1 25 6 26 4 10 4 25 1 6 1 25 6 28 6 24 6 28 6 24 6 29 1 5 22 6 29 1 6 1 23 6 28 6 25 1 6 1 25 4 10 4 26 6 25 1 6 1 26 1 6 1 25 6 26 4 10 4 25 1 6 1 25 6 28 6 23 1 6 1 29 6 22 5 1 29 6 24 6 28 6 24 6 28 6 25 1 6 1 25 4 10 4 26 6 25 1 6 1 26 OOEEEEEEEEEOOEOEOOEEEEEOOEOOEEEEEEEEEOOOEEOOEOOEEEOOEOOEEEEEOOEOEOEOOEEEEEOOEOOEEEOOEOOEEOOOEEEEEEEEEOOEOOEEEEEOOEOE
9  - CS   (142, 1528) 1 5 18 4 18 4 16 4 20 5 1 29 6 22 5 1 29 6 22 4 14 2 2 2 18 4 16 4 18 4 18 4 16 4 20 4 14 4 22 6 29 1 5 20 4 16 4 18 4 18 4 16 4 20 5 1 29 6 22 4 14 4 20 4 16 4 18 4 18 4 16 4 18 2 2 2 14 4 22 6 29 1 5 22 6 29 1 5 20 4 16 4 18 4 18 5 1 27 6 24 4 12 4 22 4 14 4 20 4 16 4 18 4 16 4 20 4 14 2 4 2 14 4 20 4 16 4 18 4 16 4 20 4 14 4 22 4 12 4 24 6 27 OOEEEEEEEOOOEEOOOEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEOOOEEOOOEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEO
10 - CS   (144, 1472) 1 5 22 5 1 29 6 24 4 10 2 8 2 10 2 8 2 8 2 10 2 8 2 8 2 12 4 22 6 29 1 6 1 22 1 6 1 29 6 22 4 14 4 21 1 7 30 6 24 6 27 1 6 1 24 1 6 1 27 6 24 4 12 4 23 1 6 1 27 6 26 6 26 6 26 6 26 6 26 6 27 1 6 1 23 4 12 4 24 6 27 1 6 1 24 1 6 1 27 6 24 6 30 7 1 21 4 14 4 22 6 29 1 6 1 22 1 6 1 29 6 22 4 12 2 8 2 8 2 10 2 8 2 8 2 10 2 8 2 10 4 24 6 29 OOEOOOEEEEEEEEEEEEEEEEEEEEEEEOOEOEOEOOEEEEEOOOEEEEOOEOEOEOOEEEEEOOEOOEEEEEEEEEEEOOEOOEEEEEOOEOEOEOOEEEEOOOEEEEEOOEOEOEOOEEEEEEEEEEEEEEEEEEEEEEEO
11 - CS   (156, 1916) 1 5 20 4 14 2 6 2 10 2 8 2 8 2 12 4 22 6 30 6 22 6 30 6 22 5 1 29 6 24 6 28 6 24 6 28 6 25 1 6 1 25 6 28 6 24 6 28 6 24 6 29 1 5 22 6 29 1 5 20 5 1 27 6 26 6 26 6 26 6 27 1 5 20 5 1 29 6 22 5 1 29 6 24 6 28 6 24 6 28 6 25 1 6 1 25 6 28 6 24 6 28 6 24 6 29 1 5 22 6 30 6 22 6 30 6 22 4 12 2 8 2 8 2 10 2 6 2 14 4 20 5 1 29 6 22 5 1 29 6 23 1 6 1 28 1 6 1 23 6 29 1 5 22 6 29 OOEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEOOEOOEEEEEEEEEOOOEEOOOEOOOEEEEEEEOOOEOOOEEOOOEEEEEEEEEOOEOOEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEOOOEEOOOEOOEOEOEOOEOOOEEO
