OSNO (76, 892) 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (36, 420) (13, 1223) - 1 5 24 5 1 31 6 27 1 6 1 27 5 1 33 6 27 1 6 1 26 1 6 1 27 6 33 1 5 27 1 6 1 27 6 31
CS (20, 276) (16, 989) - 1 5 24 6 33 1 5 26 5 1 33 6 24 5 1 31 6 26 6 31
CS (20, 292) (16, 721) - 1 5 26 6 35 1 5 28 5 1 35 6 26 5 1 33 6 28 6 33
OSO (5, 63) (17, 19339) - 1 5 22 6 29
OSO (5, 67) (17, 11731) - 1 5 24 6 31
1  - OSO  (41, 499) 1 5 22 4 18 4 18 4 20 4 18 4 20 4 16 4 24 6 31 1 5 24 6 31 1 6 1 23 5 1 31 6 26 6 29 1 6 1 25 6 31
2  - OSO  (63, 683) 1 5 22 4 18 4 18 4 20 4 18 4 18 2 2 2 18 4 18 4 20 4 18 4 20 4 16 4 24 6 30 6 28 6 28 6 28 6 28 4 10 2 8 2 12 2 8 2 8 2 14 4 22 4 14 2 6 2 14 4 24 6 31
3  - OSNO (38, 478) 1 5 24 4 12 2 10 4 26 4 12 4 26 6 30 6 26 6 31 1 5 24 6 32 6 24 4 14 4 24 4 12 2 10 4 26 6 31
OSO (5, 71) (17, 1617) - 1 5 26 6 33
CS (20, 260) (20, 1460) - 1 5 22 6 31 1 5 24 5 1 31 6 22 5 1 29 6 24 6 29
OSO (7, 67) (22, 3488) - 1 5 23 1 6 1 30
OSO (7, 71) (22, 2366) - 1 5 25 1 6 1 32
CS (20, 276) (22, 797) - 1 5 24 5 1 31 6 26 5 1 33 6 24 6 33 1 5 26 6 31
CS (20, 292) (22, 1147) - 1 5 26 5 1 33 6 28 5 1 35 6 26 6 35 1 5 28 6 33
CS (72, 864) (22, 297) - 1 5 23 1 6 1 30 1 6 1 21 4 18 4 20 4 18 4 20 4 18 4 20 4 18 4 21 1 6 1 30 1 6 1 23 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31
CS (20, 276) (25, 557) - 1 5 24 6 33 1 5 26 6 32 6 26 5 1 33 6 24 5 1 30
CS (20, 292) (25, 829) - 1 5 26 6 35 1 5 28 6 34 6 28 5 1 35 6 26 5 1 32
CS (20, 260) (27, 2710) - 1 5 22 5 1 29 6 24 5 1 31 6 22 6 31 1 5 24 6 29
CS (20, 268) (28, 448) - 1 5 24 6 31 1 5 24 6 32 6 24 5 1 31 6 24 5 1 30
CS (20, 284) (28, 164) - 1 5 26 6 33 1 5 26 6 34 6 26 5 1 33 6 26 5 1 32
CS (20, 300) (28, 47) - 1 5 28 6 35 1 5 30 6 32 6 30 5 1 35 6 28 5 1 34
CS (26, 316) (28, 445) - 1 5 20 4 20 5 1 27 4 14 4 24 5 1 31 6 28 6 31 1 5 24 4 14 4 27
CS (42, 436) (29, 787) - 1 5 25 1 6 1 25 4 12 4 25 1 6 1 25 4 12 4 25 1 6 1 25 5 1 31 6 25 1 6 1 25 4 12 4 25 1 6 1 25 6 31
CS (20, 276) (30, 761) - 1 5 24 5 1 31 6 26 5 1 31 6 28 6 31 1 5 26 6 31
CS (20, 292) (30, 908) - 1 5 26 5 1 33 6 28 5 1 33 6 30 6 33 1 5 28 6 33
CS (28, 268) (32, 532) - 1 5 23 1 6 1 30 1 5 24 5 1 30 1 6 1 23 5 1 30 1 6 1 22 1 6 1 30
CS (28, 284) (32, 46) - 1 5 25 1 6 1 32 1 5 26 5 1 32 1 6 1 25 5 1 32 1 6 1 24 1 6 1 32
CS (28, 260) (33, 607) - 1 5 21 1 6 1 30 1 5 24 5 1 30 1 6 1 21 5 1 28 1 6 1 22 1 6 1 28
CS (28, 332) (33, 718) - 1 5 20 4 22 4 20 4 22 4 20 5 1 27 4 16 4 26 5 1 34 1 5 26 4 16 4 27
CS (28, 268) (34, 846) - 1 5 23 1 6 1 30 1 5 23 1 6 1 30 1 6 1 23 5 1 30 1 6 1 23 5 1 30
CS (26, 280) (35, 1347) - 1 5 25 1 6 1 25 4 12 4 25 1 6 1 25 5 1 31 6 25 1 6 1 25 6 31
OSO (17, 205) (36, 237) - 1 5 24 5 1 30 1 5 24 6 33 1 5 26 5 1 32
CS (22, 252) (36, 23) - 1 5 18 4 18 4 18 4 18 5 1 27 6 24 5 1 30 1 5 24 6 27
CS (24, 268) (36, 495) - 1 5 22 4 16 2 4 2 16 4 22 5 1 31 6 24 5 1 30 1 5 24 6 31
CS (24, 292) (36, 258) - 1 5 24 4 18 2 4 2 18 4 24 5 1 33 6 28 5 1 34 1 5 28 6 33
CS (34, 340) (36, 635) - 1 5 20 4 16 4 18 4 18 4 16 4 20 5 1 27 4 8 2 12 4 22 5 1 30 1 5 22 4 12 2 8 4 27
CS (32, 400) (37, 271) - 1 5 25 1 6 1 29 6 28 5 1 33 6 26 4 14 4 26 6 33 1 5 28 6 29 1 6 1 25 5 1 32
OSO (9, 99) (38, 1284) - 1 5 23 1 6 1 27 6 29
CS (52, 616) (38, 62) - 1 5 24 4 18 4 24 5 1 32 1 5 25 1 6 1 30 1 6 1 25 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 25 1 6 1 30 1 6 1 25 5 1 32
CS (60, 752) (38, 288) - 1 5 26 4 16 4 25 1 6 1 31 6 29 1 6 1 27 5 1 34 1 5 27 1 6 1 29 6 31 1 6 1 25 4 16 4 26 5 1 33 6 29 1 6 1 27 6 34 6 28 6 34 6 27 1 6 1 29 6 33
CS (64, 776) (38, 146) - 1 5 21 1 7 31 1 5 24 6 29 1 5 22 5 1 29 6 24 6 29 1 5 22 5 1 29 6 24 6 29 1 5 22 5 1 29 6 24 5 1 31 7 1 21 5 1 29 6 23 1 6 1 27 6 26 6 27 1 6 1 23 6 29
CS (22, 260) (40, 802) - 1 5 20 4 18 4 18 4 20 5 1 29 6 24 5 1 30 1 5 24 6 29
CS (22, 284) (40, 1756) - 1 5 22 4 20 4 20 4 22 5 1 31 6 28 5 1 34 1 5 28 6 31
CS (30, 380) (40, 33) - 1 5 18 4 18 4 18 4 18 5 1 25 6 30 6 22 5 1 29 6 24 6 29 1 5 22 6 30 6 25
CS (58, 748) (40, 479) - 1 5 24 4 18 4 24 5 1 31 6 32 6 31 1 5 24 4 18 4 24 5 1 31 6 33 1 5 27 1 6 1 29 6 33 1 5 24 4 20 4 20 4 24 5 1 33 6 29 1 6 1 27 5 1 33 6 31
CS (60, 724) (40, 88) - 1 5 25 1 6 1 31 6 30 6 32 6 28 6 32 6 30 6 31 1 6 1 25 5 1 33 6 27 1 6 1 29 4 12 2 8 2 14 4 26 5 1 34 1 5 26 4 14 2 8 2 12 4 29 1 6 1 27 6 33
CS (68, 692) (40, 45) - 1 5 24 4 18 4 24 4 18 4 24 4 18 4 24 4 18 4 24 5 1 31 4 10 2 12 2 10 2 10 2 12 2 8 2 12 2 12 4 28 5 1 35 6 28 6 35 1 5 28 4 12 2 12 2 8 2 12 2 10 2 10 2 12 2 10 4 31
CS (68, 768) (40, 144) - 1 5 20 4 20 4 20 4 18 4 22 5 1 29 6 30 6 29 1 5 22 4 18 4 20 4 20 4 20 5 1 27 4 12 2 8 2 14 4 22 4 20 5 1 29 6 29 1 5 22 5 1 29 6 29 1 5 20 4 22 4 14 2 8 2 12 4 27
OSO (11, 135) (41, 421) - 1 5 24 6 32 6 23 1 6 1 30
OSO (11, 143) (41, 103) - 1 5 25 1 6 1 31 6 28 6 33
OSO (11, 119) (42, 261) - 1 5 24 4 18 4 23 1 6 1 32
OSO (11, 133) (42, 508) - 1 5 24 6 29 1 6 1 23 6 31
CS (36, 432) (42, 506) - 1 5 22 4 18 4 21 1 6 1 30 1 6 1 21 4 18 4 22 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 31
CS (36, 436) (42, 95) - 1 5 26 5 1 33 6 29 1 6 1 27 5 1 33 6 31 1 6 1 24 1 6 1 31 6 33 1 5 27 1 6 1 29 6 33
CS (44, 436) (42, 271) - 1 5 18 4 20 4 16 4 20 4 18 5 1 25 4 12 2 8 2 8 2 12 4 24 5 1 31 6 24 6 31 1 5 24 4 12 2 8 2 8 2 12 4 25
CS (34, 396) (43, 1334) - 1 5 27 1 6 1 27 5 1 33 6 28 6 33 1 5 27 1 6 1 27 5 1 34 1 5 27 1 6 1 27 5 1 34
CS (40, 516) (43, 611) - 1 5 22 6 30 6 22 5 1 29 6 24 6 28 6 24 5 1 31 6 20 4 16 2 2 2 16 4 20 6 31 1 5 24 6 28 6 24 6 29
CS (42, 540) (43, 48) - 1 5 25 1 6 1 31 6 28 5 1 34 1 5 27 1 6 1 27 5 1 34 1 5 28 6 31 1 6 1 25 5 1 33 6 28 6 32 6 28 6 33
CS (26, 300) (44, 172) - 1 5 24 4 12 4 25 1 6 1 25 4 12 4 24 5 1 31 6 22 4 16 4 22 6 31
CS (30, 412) (44, 451) - 1 5 20 4 20 5 1 27 6 32 6 26 5 1 33 6 24 4 16 4 24 6 33 1 5 26 6 32 6 27
CS (32, 340) (44, 1834) - 1 5 20 4 16 4 20 5 1 27 4 8 2 12 4 22 5 1 29 6 24 6 29 1 5 22 4 12 2 8 4 27
CS (36, 424) (44, 1072) - 1 5 20 4 18 4 21 1 6 1 30 1 6 1 21 4 18 4 20 5 1 29 6 26 6 31 1 5 24 5 1 31 6 26 6 29
CS (36, 456) (44, 730) - 1 5 22 4 20 4 23 1 6 1 32 1 6 1 23 4 20 4 22 5 1 31 6 30 6 33 1 5 26 5 1 33 6 30 6 31
CS (48, 524) (44, 225) - 1 5 20 4 22 4 20 4 20 4 22 4 20 4 20 4 22 4 20 5 1 27 4 14 2 6 2 18 4 20 4 24 5 1 32 1 5 24 4 20 4 18 2 6 2 14 4 27
CS (52, 600) (44, 110) - 1 5 20 2 2 2 20 4 20 5 1 27 5 1 33 6 29 1 5 22 4 18 4 24 4 18 4 22 5 1 29 6 33 1 5 27 1 5 20 4 20 2 2 2 20 5 1 29 6 32 6 29
CS (64, 776) (45, 38) - 1 5 20 4 16 4 20 4 16 4 20 4 16 4 20 5 1 28 1 5 22 6 31 1 5 24 6 30 6 22 4 16 4 18 4 20 5 1 29 6 24 6 29 1 5 20 4 18 4 16 4 22 6 30 6 24 5 1 31 6 22 5 1 28
CS (32, 428) (46, 366) - 1 5 22 4 20 4 22 4 18 4 22 4 20 4 22 5 1 29 6 34 6 26 5 1 32 1 5 26 6 34 6 29
CS (38, 396) (46, 44) - 1 5 20 5 1 27 6 29 1 6 1 23 5 1 30 1 6 1 21 4 18 4 18 4 21 1 6 1 30 1 5 23 1 6 1 29 6 27
CS (48, 536) (46, 28) - 1 5 22 4 16 2 4 2 16 4 22 5 1 30 1 5 22 4 16 2 4 2 16 4 22 5 1 31 6 24 5 1 30 1 5 24 6 32 6 24 5 1 30 1 5 24 6 31
CS (48, 584) (46, 53) - 1 5 24 4 18 2 4 2 18 4 24 5 1 32 1 5 24 4 18 2 4 2 18 4 24 5 1 33 6 28 5 1 34 1 5 28 6 34 6 28 5 1 34 1 5 28 6 33
CS (48, 616) (46, 10) - 1 5 24 4 18 4 22 4 18 4 24 5 1 31 6 31 1 5 26 6 33 1 5 24 4 18 4 24 5 1 32 1 5 24 4 18 4 24 5 1 33 6 26 5 1 31 6 31
CS (40, 548) (47, 153) - 1 5 22 4 18 4 18 4 22 5 1 31 6 26 6 30 6 26 5 1 33 6 22 4 18 4 18 4 22 6 33 1 5 26 6 30 6 26 6 31
CS (20, 268) (48, 425) - 1 5 22 5 1 29 6 26 5 1 31 6 26 6 31 1 5 26 6 29
CS (20, 284) (48, 546) - 1 5 24 5 1 31 6 28 5 1 33 6 28 6 33 1 5 28 6 31
CS (24, 276) (48, 382) - 1 5 24 6 33 1 5 26 4 12 2 8 2 12 4 26 5 1 33 6 24 5 1 30
CS (32, 408) (48, 286) - 1 5 25 1 6 1 31 6 28 5 1 34 1 5 28 6 31 1 6 1 25 5 1 33 6 26 4 16 4 26 6 33
CS (44, 404) (48, 58) - 1 5 20 4 20 4 16 2 6 2 12 2 6 2 16 4 20 4 20 5 1 27 4 12 2 6 2 16 4 22 5 1 30 1 5 22 4 16 2 6 2 12 4 27
CS (44, 516) (48, 750) - 1 5 21 1 6 1 29 6 24 6 29 1 5 22 5 1 29 6 24 6 29 1 6 1 21 5 1 29 6 23 1 6 1 27 6 26 6 27 1 6 1 23 6 29
OSO (17, 195) (49, 512) - 1 5 22 6 29 1 6 1 23 6 29 1 6 1 23 6 29
CS (22, 292) (49, 1338) - 1 5 24 4 20 4 20 4 24 5 1 33 6 28 5 1 34 1 5 28 6 33
CS (64, 624) (49, 274) - 1 5 21 1 6 1 29 6 23 1 6 1 26 1 6 1 23 5 1 30 1 5 23 1 6 1 26 1 6 1 23 6 29 1 6 1 21 5 1 29 6 23 1 6 1 26 1 6 1 23 4 12 4 23 1 6 1 26 1 6 1 23 6 29
OSO (11, 129) (50, 1970) - 1 5 22 6 29 1 6 1 23 6 29
OSO (13, 129) (50, 399) - 1 5 22 5 1 28 1 6 1 23 5 1 30
OSO (13, 137) (50, 150) - 1 5 24 5 1 30 1 6 1 25 5 1 32
CS (24, 276) (50, 1873) - 1 5 22 4 18 2 2 2 18 4 22 5 1 31 6 26 5 1 32 1 5 26 6 31
CS (28, 332) (50, 1031) - 1 5 16 4 22 6 29 1 5 20 4 16 4 20 5 1 29 6 22 4 16 5 1 25 6 28 6 25
CS (40, 568) (50, 344) - 1 5 26 5 1 33 6 26 5 1 33 6 26 6 33 1 5 26 5 1 33 6 26 6 33 1 5 26 6 33 1 5 26 5 1 33 6 26 6 33
CS (48, 676) (50, 135) - 1 5 22 4 20 4 22 5 1 29 4 12 2 10 4 30 6 32 6 28 5 1 33 6 30 6 30 6 32 6 30 6 30 6 33 1 5 28 6 32 6 30 4 10 2 12 4 29
CS (50, 588) (50, 141) - 1 5 22 4 22 5 1 30 1 6 1 25 5 1 32 1 5 24 4 18 4 24 5 1 33 6 26 4 16 4 26 6 33 1 5 24 4 18 4 24 5 1 32 1 5 25 1 6 1 30
CS (58, 592) (50, 1162) - 1 5 25 1 6 1 25 4 12 4 25 1 6 1 25 4 12 4 25 1 6 1 25 4 12 4 25 1 6 1 25 5 1 31 6 25 1 6 1 25 4 12 4 25 1 6 1 25 4 12 4 25 1 6 1 25 6 31
CS (84, 848) (50, 88) - 1 5 20 2 2 2 16 2 2 2 18 2 2 2 16 4 23 1 6 1 28 1 6 1 24 1 6 1 28 1 6 1 23 4 16 2 2 2 18 2 2 2 16 2 2 2 20 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 29
OSO (9, 115) (51, 1298) - 1 5 24 4 14 4 26 6 31
OSO (9, 121) (51, 1384) - 1 5 26 4 14 4 28 6 33
CS (22, 268) (51, 420) - 1 5 22 4 18 4 18 4 22 5 1 31 6 24 5 1 30 1 5 24 6 31
CS (36, 424) (51, 1096) - 1 5 24 4 12 4 25 1 6 1 26 1 6 1 25 4 12 4 24 5 1 31 6 24 6 31 1 5 24 5 1 31 6 24 6 31
OSO (13, 155) (52, 266) - 1 5 24 4 18 4 23 1 6 1 31 6 31
OSO (13, 169) (52, 257) - 1 5 24 6 30 6 27 1 6 1 25 6 31
OSO (13, 185) (52, 332) - 1 5 28 6 34 6 29 1 6 1 27 6 35
CS (24, 284) (52, 2173) - 1 5 22 4 14 4 21 1 7 30 6 24 6 30 7 1 21 4 14 4 22 5 1 30
CS (32, 412) (52, 1041) - 1 5 22 5 1 29 6 24 6 30 7 1 21 4 14 4 22 6 30 6 22 4 14 4 21 1 7 30 6 24 6 29
CS (42, 524) (52, 135) - 1 5 24 4 20 4 18 2 6 2 14 4 27 1 6 1 27 4 14 2 6 2 18 4 20 4 24 5 1 33 6 28 6 34 6 28 6 34 6 28 6 33
CS (44, 516) (52, 469) - 1 5 21 1 6 1 29 6 24 6 29 1 5 22 5 1 29 6 24 6 29 1 6 1 21 5 1 28 1 6 1 23 6 28 6 26 6 28 6 23 1 6 1 28
CS (46, 524) (52, 208) - 1 5 24 4 18 2 4 2 16 2 6 2 14 4 27 1 6 1 27 4 14 2 6 2 16 2 4 2 18 4 24 5 1 33 6 28 6 34 6 28 6 34 6 28 6 33
CS (48, 516) (52, 220) - 1 5 21 1 6 1 29 6 24 6 29 1 5 22 5 1 29 6 24 6 29 1 6 1 21 5 1 28 1 6 1 21 4 16 4 18 4 18 4 18 4 16 4 21 1 6 1 28
CS (52, 732) (52, 93) - 1 5 24 5 1 31 6 32 6 28 4 14 2 8 2 14 4 26 5 1 33 6 30 6 32 6 30 6 32 6 30 6 32 6 30 6 33 1 5 26 4 14 2 8 2 14 4 28 6 32 6 31
CS (54, 596) (52, 303) - 1 5 18 4 22 5 1 30 1 5 23 1 6 1 29 6 29 1 5 22 4 18 4 18 4 22 5 1 29 6 29 1 6 1 23 5 1 30 1 5 22 4 18 5 1 25 4 14 4 24 4 14 4 25
CS (56, 552) (52, 249) - 1 5 22 4 14 4 23 1 6 1 28 1 6 1 23 5 1 30 1 6 1 21 4 16 4 20 4 16 4 20 4 16 4 21 1 6 1 30 1 5 23 1 6 1 28 1 6 1 23 4 14 4 22 5 1 30
